description,nom_localisation,salarie_nombre,telephone
Enseignement supérieur,"INSTITUT CATHOLIQUE DE LILLE,LILLE",500 à 999 salariés,0320134013
"Ingénierie, études techniques","ALTRAN TECHNOLOGIES,WASQUEHAL",250 à 499 salariés,0328367720
Conseil en systèmes et logiciels informatiques,"NUMERICOACH,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"LIENS INFORMATIQUES,VILLENEUVE-D-ASCQ",3 à 5 salariés,0320817272
Programmation informatique,"THE RING.IO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SKAPANE S.A.S.,LILLE",0 salarié,https://www.skapane.com/
Programmation informatique,"ZESAAS,ROUBAIX",1 ou 2 salariés,Modifier ces informations
Gestion d'installations informatiques,"ALTIMANCE,ANZIN",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PROMATEC,BONDUES",6 à 9 salariés,0320707679
Programmation informatique,"MICROPOLE NORD OUEST,LILLE",0 salarié,Modifier ces informations
,,,
,,,
Programmation informatique,"CURIOO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"WEB-TRANSITION,MARCQ-EN-BAROEUL",20 à 49 salariés,0320811255
Programmation informatique,"IANORD,VILLENEUVE-D-ASCQ",6 à 9 salariés,0320050606
Conseil en systèmes et logiciels informatiques,"ADN-CONSULTING,RAIMBEAUCOURT",0 salarié,Modifier ces informations
"Ingénierie, études techniques","SEGULA INTEGRATION,PROUVY",20 à 49 salariés,0362191000
Formation continue d'adultes,"AGENCE NATIONALE POUR LA FORMATION PROFE,CANTIN",0 salarié,0327995309
Recherche-développement en autres sciences physiques et naturelles,"INSTITUT PASTEUR DE LILLE,LILLE",200 à 249 salariés,0320877800
Conseil en systèmes et logiciels informatiques,"OXYA FRANCE,LOOS",100 à 199 salariés,0176764023
"Post-production de films cinématographiques, de vidéo et de programmes de télévision","LA FACTORIE,LILLE",0 salarié,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"ECOLE DU COMMERCE,ANZIN",10 à 19 salariés,0327329000
Enseignement supérieur,"INSTITUT CATHOLIQUE DE LILLE,LILLE",500 à 999 salariés,0320134013
"Ingénierie, études techniques","ALTRAN TECHNOLOGIES,WASQUEHAL",250 à 499 salariés,0328367720
Conseil en systèmes et logiciels informatiques,"NUMERICOACH,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"LIENS INFORMATIQUES,VILLENEUVE-D-ASCQ",3 à 5 salariés,0320817272
Programmation informatique,"THE RING.IO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SKAPANE S.A.S.,LILLE",0 salarié,https://www.skapane.com/
Programmation informatique,"ZESAAS,ROUBAIX",1 ou 2 salariés,Modifier ces informations
Gestion d'installations informatiques,"ALTIMANCE,ANZIN",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PROMATEC,BONDUES",6 à 9 salariés,0320707679
Programmation informatique,"MICROPOLE NORD OUEST,LILLE",0 salarié,Modifier ces informations
,,,
,,,
Programmation informatique,"CURIOO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"WEB-TRANSITION,MARCQ-EN-BAROEUL",20 à 49 salariés,0320811255
Programmation informatique,"IANORD,VILLENEUVE-D-ASCQ",6 à 9 salariés,0320050606
Conseil en systèmes et logiciels informatiques,"ADN-CONSULTING,RAIMBEAUCOURT",0 salarié,Modifier ces informations
"Ingénierie, études techniques","SEGULA INTEGRATION,PROUVY",20 à 49 salariés,0362191000
Formation continue d'adultes,"AGENCE NATIONALE POUR LA FORMATION PROFE,CANTIN",0 salarié,0327995309
Recherche-développement en autres sciences physiques et naturelles,"INSTITUT PASTEUR DE LILLE,LILLE",200 à 249 salariés,0320877800
Conseil en systèmes et logiciels informatiques,"OXYA FRANCE,LOOS",100 à 199 salariés,0176764023
"Post-production de films cinématographiques, de vidéo et de programmes de télévision","LA FACTORIE,LILLE",0 salarié,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"ECOLE DU COMMERCE,ANZIN",10 à 19 salariés,0327329000
Enseignement supérieur,"INSTITUT CATHOLIQUE DE LILLE,LILLE",500 à 999 salariés,0320134013
"Ingénierie, études techniques","ALTRAN TECHNOLOGIES,WASQUEHAL",250 à 499 salariés,0328367720
Conseil en systèmes et logiciels informatiques,"NUMERICOACH,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"LIENS INFORMATIQUES,VILLENEUVE-D-ASCQ",3 à 5 salariés,0320817272
Programmation informatique,"THE RING.IO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SKAPANE S.A.S.,LILLE",0 salarié,https://www.skapane.com/
Programmation informatique,"ZESAAS,ROUBAIX",1 ou 2 salariés,Modifier ces informations
Gestion d'installations informatiques,"ALTIMANCE,ANZIN",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PROMATEC,BONDUES",6 à 9 salariés,0320707679
Programmation informatique,"MICROPOLE NORD OUEST,LILLE",0 salarié,Modifier ces informations
,,,
,,,
Programmation informatique,"CURIOO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"WEB-TRANSITION,MARCQ-EN-BAROEUL",20 à 49 salariés,0320811255
Programmation informatique,"IANORD,VILLENEUVE-D-ASCQ",6 à 9 salariés,0320050606
Conseil en systèmes et logiciels informatiques,"ADN-CONSULTING,RAIMBEAUCOURT",0 salarié,Modifier ces informations
"Ingénierie, études techniques","SEGULA INTEGRATION,PROUVY",20 à 49 salariés,0362191000
Formation continue d'adultes,"AGENCE NATIONALE POUR LA FORMATION PROFE,CANTIN",0 salarié,0327995309
Recherche-développement en autres sciences physiques et naturelles,"INSTITUT PASTEUR DE LILLE,LILLE",200 à 249 salariés,0320877800
Conseil en systèmes et logiciels informatiques,"OXYA FRANCE,LOOS",100 à 199 salariés,0176764023
"Post-production de films cinématographiques, de vidéo et de programmes de télévision","LA FACTORIE,LILLE",0 salarié,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"ECOLE DU COMMERCE,ANZIN",10 à 19 salariés,0327329000
Enseignement supérieur,"INSTITUT CATHOLIQUE DE LILLE,LILLE",500 à 999 salariés,0320134013
"Ingénierie, études techniques","ALTRAN TECHNOLOGIES,WASQUEHAL",250 à 499 salariés,0328367720
Conseil en systèmes et logiciels informatiques,"NUMERICOACH,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"LIENS INFORMATIQUES,VILLENEUVE-D-ASCQ",3 à 5 salariés,0320817272
Programmation informatique,"THE RING.IO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SKAPANE S.A.S.,LILLE",0 salarié,https://www.skapane.com/
Programmation informatique,"ZESAAS,ROUBAIX",1 ou 2 salariés,Modifier ces informations
Gestion d'installations informatiques,"ALTIMANCE,ANZIN",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PROMATEC,BONDUES",6 à 9 salariés,0320707679
Programmation informatique,"MICROPOLE NORD OUEST,LILLE",0 salarié,Modifier ces informations
,,,
,,,
Programmation informatique,"CURIOO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"WEB-TRANSITION,MARCQ-EN-BAROEUL",20 à 49 salariés,0320811255
Programmation informatique,"IANORD,VILLENEUVE-D-ASCQ",6 à 9 salariés,0320050606
Conseil en systèmes et logiciels informatiques,"ADN-CONSULTING,RAIMBEAUCOURT",0 salarié,Modifier ces informations
"Ingénierie, études techniques","SEGULA INTEGRATION,PROUVY",20 à 49 salariés,0362191000
Formation continue d'adultes,"AGENCE NATIONALE POUR LA FORMATION PROFE,CANTIN",0 salarié,0327995309
Recherche-développement en autres sciences physiques et naturelles,"INSTITUT PASTEUR DE LILLE,LILLE",200 à 249 salariés,0320877800
Conseil en systèmes et logiciels informatiques,"OXYA FRANCE,LOOS",100 à 199 salariés,0176764023
"Post-production de films cinématographiques, de vidéo et de programmes de télévision","LA FACTORIE,LILLE",0 salarié,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"ECOLE DU COMMERCE,ANZIN",10 à 19 salariés,0327329000
Enseignement supérieur,"INSTITUT CATHOLIQUE DE LILLE,LILLE",500 à 999 salariés,0320134013
"Ingénierie, études techniques","ALTRAN TECHNOLOGIES,WASQUEHAL",250 à 499 salariés,0328367720
Conseil en systèmes et logiciels informatiques,"NUMERICOACH,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"LIENS INFORMATIQUES,VILLENEUVE-D-ASCQ",3 à 5 salariés,0320817272
Programmation informatique,"THE RING.IO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SKAPANE S.A.S.,LILLE",0 salarié,https://www.skapane.com/
Programmation informatique,"ZESAAS,ROUBAIX",1 ou 2 salariés,Modifier ces informations
Gestion d'installations informatiques,"ALTIMANCE,ANZIN",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PROMATEC,BONDUES",6 à 9 salariés,0320707679
Programmation informatique,"MICROPOLE NORD OUEST,LILLE",0 salarié,Modifier ces informations
,,,
,,,
Programmation informatique,"CURIOO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"WEB-TRANSITION,MARCQ-EN-BAROEUL",20 à 49 salariés,0320811255
Programmation informatique,"IANORD,VILLENEUVE-D-ASCQ",6 à 9 salariés,0320050606
Conseil en systèmes et logiciels informatiques,"ADN-CONSULTING,RAIMBEAUCOURT",0 salarié,Modifier ces informations
"Ingénierie, études techniques","SEGULA INTEGRATION,PROUVY",20 à 49 salariés,0362191000
Formation continue d'adultes,"AGENCE NATIONALE POUR LA FORMATION PROFE,CANTIN",0 salarié,0327995309
Recherche-développement en autres sciences physiques et naturelles,"INSTITUT PASTEUR DE LILLE,LILLE",200 à 249 salariés,0320877800
Conseil en systèmes et logiciels informatiques,"OXYA FRANCE,LOOS",100 à 199 salariés,0176764023
"Post-production de films cinématographiques, de vidéo et de programmes de télévision","LA FACTORIE,LILLE",0 salarié,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"ECOLE DU COMMERCE,ANZIN",10 à 19 salariés,0327329000
Enseignement supérieur,"INSTITUT CATHOLIQUE DE LILLE,LILLE",500 à 999 salariés,0320134013
"Ingénierie, études techniques","ALTRAN TECHNOLOGIES,WASQUEHAL",250 à 499 salariés,0328367720
Conseil en systèmes et logiciels informatiques,"NUMERICOACH,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"LIENS INFORMATIQUES,VILLENEUVE-D-ASCQ",3 à 5 salariés,0320817272
Programmation informatique,"THE RING.IO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SKAPANE S.A.S.,LILLE",0 salarié,https://www.skapane.com/
Programmation informatique,"ZESAAS,ROUBAIX",1 ou 2 salariés,Modifier ces informations
Gestion d'installations informatiques,"ALTIMANCE,ANZIN",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PROMATEC,BONDUES",6 à 9 salariés,0320707679
Programmation informatique,"MICROPOLE NORD OUEST,LILLE",0 salarié,Modifier ces informations
,,,
,,,
Programmation informatique,"CURIOO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"WEB-TRANSITION,MARCQ-EN-BAROEUL",20 à 49 salariés,0320811255
Programmation informatique,"IANORD,VILLENEUVE-D-ASCQ",6 à 9 salariés,0320050606
Conseil en systèmes et logiciels informatiques,"ADN-CONSULTING,RAIMBEAUCOURT",0 salarié,Modifier ces informations
"Ingénierie, études techniques","SEGULA INTEGRATION,PROUVY",20 à 49 salariés,0362191000
Formation continue d'adultes,"AGENCE NATIONALE POUR LA FORMATION PROFE,CANTIN",0 salarié,0327995309
Recherche-développement en autres sciences physiques et naturelles,"INSTITUT PASTEUR DE LILLE,LILLE",200 à 249 salariés,0320877800
Conseil en systèmes et logiciels informatiques,"OXYA FRANCE,LOOS",100 à 199 salariés,0176764023
"Post-production de films cinématographiques, de vidéo et de programmes de télévision","LA FACTORIE,LILLE",0 salarié,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"ECOLE DU COMMERCE,ANZIN",10 à 19 salariés,0327329000
Enseignement supérieur,"INSTITUT CATHOLIQUE DE LILLE,LILLE",500 à 999 salariés,0320134013
"Ingénierie, études techniques","ALTRAN TECHNOLOGIES,WASQUEHAL",250 à 499 salariés,0328367720
Conseil en systèmes et logiciels informatiques,"NUMERICOACH,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"LIENS INFORMATIQUES,VILLENEUVE-D-ASCQ",3 à 5 salariés,0320817272
Programmation informatique,"THE RING.IO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SKAPANE S.A.S.,LILLE",0 salarié,https://www.skapane.com/
Programmation informatique,"ZESAAS,ROUBAIX",1 ou 2 salariés,Modifier ces informations
Gestion d'installations informatiques,"ALTIMANCE,ANZIN",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PROMATEC,BONDUES",6 à 9 salariés,0320707679
Programmation informatique,"MICROPOLE NORD OUEST,LILLE",0 salarié,Modifier ces informations
,,,
,,,
Programmation informatique,"CURIOO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"WEB-TRANSITION,MARCQ-EN-BAROEUL",20 à 49 salariés,0320811255
Programmation informatique,"IANORD,VILLENEUVE-D-ASCQ",6 à 9 salariés,0320050606
Conseil en systèmes et logiciels informatiques,"ADN-CONSULTING,RAIMBEAUCOURT",0 salarié,Modifier ces informations
"Ingénierie, études techniques","SEGULA INTEGRATION,PROUVY",20 à 49 salariés,0362191000
Formation continue d'adultes,"AGENCE NATIONALE POUR LA FORMATION PROFE,CANTIN",0 salarié,0327995309
Recherche-développement en autres sciences physiques et naturelles,"INSTITUT PASTEUR DE LILLE,LILLE",200 à 249 salariés,0320877800
Conseil en systèmes et logiciels informatiques,"OXYA FRANCE,LOOS",100 à 199 salariés,0176764023
"Post-production de films cinématographiques, de vidéo et de programmes de télévision","LA FACTORIE,LILLE",0 salarié,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"ECOLE DU COMMERCE,ANZIN",10 à 19 salariés,0327329000
Enseignement supérieur,"INSTITUT CATHOLIQUE DE LILLE,LILLE",500 à 999 salariés,0320134013
"Ingénierie, études techniques","ALTRAN TECHNOLOGIES,WASQUEHAL",250 à 499 salariés,0328367720
Conseil en systèmes et logiciels informatiques,"NUMERICOACH,LILLE",0 salarié,Modifier ces informations
Programmation informatique,"LIENS INFORMATIQUES,VILLENEUVE-D-ASCQ",3 à 5 salariés,0320817272
Programmation informatique,"THE RING.IO,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"SKAPANE S.A.S.,LILLE",0 salarié,https://www.skapane.com/
Programmation informatique,"ZESAAS,ROUBAIX",1 ou 2 salariés,Modifier ces informations
Gestion d'installations informatiques,"ALTIMANCE,ANZIN",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PROMATEC,BONDUES",6 à 9 salariés,0320707679
Programmation informatique,"MICROPOLE NORD OUEST,LILLE",0 salarié,Modifier ces informations
,,,
,,,
Autres activités de soutien aux entreprises nca,"INTERVAL,WATTIGNIES",100 à 199 salariés,0320970513
Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels,"ELECTRON 02,BOHAIN-EN-VERMANDOIS",3 à 5 salariés,0953608490
Conseil en systèmes et logiciels informatiques,"INZERTY,LESQUIN",0 salarié,0320617070
Conseil en systèmes et logiciels informatiques,"ENTERPRISE SERVICES FRANCE SAS,LEZENNES",20 à 49 salariés,Modifier ces informations
Edition de logiciels applicatifs,"CLEVERDOC,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"HATEMIS,VILLENEUVE-D-ASCQ",6 à 9 salariés,0359391321
Autre mise à disposition de ressources humaines,"ALLIANCE EMPLOI,HENIN-BEAUMONT",100 à 199 salariés,0359313077
Autres activités informatiques,"BENAZA,ROUBAIX",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"UPI DATACENTER AND SECURITY,CARVIN",0 salarié,0374950100
Programmation informatique,"WHITEDEV,VILLENEUVE-D-ASCQ",1 ou 2 salariés,0952810441
Édition de jeux électroniques,"AUGMENTEO,LILLE",0 salarié,0366595967
Programmation informatique,"TAKTUS,LILLE",3 à 5 salariés,Modifier ces informations
Vente à distance sur catalogue spécialisé,"DAMART SERVIPOSTE,HEM",250 à 499 salariés,0320114500
"Traitement de données, hébergement et activités connexes","EURODATACAR,LILLE",20 à 49 salariés,0359560509
Conseil pour les affaires et autres conseils de gestion,"SYNEDIS,CROIX",0 salarié,0320206334
Activités des sièges sociaux,"LSA DIS,BELLAING",3 à 5 salariés,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"ACTEAM-IT,ROUBAIX",0 salarié,0629844559
Edition de logiciels applicatifs,"IT FINANCE,WASQUEHAL",20 à 49 salariés,Modifier ces informations
Programmation informatique,"MLK CONNECT,DENAIN",1 ou 2 salariés,Modifier ces informations
Programmation informatique,"UTOCAT,LILLE",10 à 19 salariés,0637584280
,,,
,,,
Autres activités de soutien aux entreprises nca,"INTERVAL,WATTIGNIES",100 à 199 salariés,0320970513
